Codigo,Clave,Descripcion,Adelitas,Adelitas,San Agustin,San Agustin,Matriz,Matriz,Berriozabal,Berriozabal,H Ilustres,H Ilustres
Codigo,Clave,Descripcion,Inv,Class,Inv,Class,Inv,Class,Inv,Class,Inv,Class
23499/007,TME 23499/007,TRAMONTINA 23499/007 CARMEL JUEGO DE CUB,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23699/050,CED 23699/050,TRAMONTINA 23699/050 JUEGO DE CUCHILLOS,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23797/910,TME 23797/910,TRAMONTINA 23797/910 JUEGO DE CUBIERTOS,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23799/191,TME 23799/191,TRAMONTINA 23799/191 JGO. CUBIERTOS INFA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23799/491,TME 23799/491,TRAMONTINA 23799/491 JGO. CUBIERTOS INFA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23881/105,CED 23881/105,TRAMONTINA 23881/105 CUCHILLO ASADO 5 FU,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23899/061,CED 23899/061,TRAMONTINA 23899/061 JUEGO DE CUCHILLOS,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
25099/944,TME 25099/944,TRAMONTINA 25099/944 JUEGO PARA POSTRE 1,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
25159/160,TME 25159/160,TRAMONTINA 25159/160 CUCHARA P/PANQUECAS,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
25161/170,TME 25161/170,TRAMONTINA 25161/170 CUCHARA PARA SERVIR,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
25627/110,TME 25627/110,TRAMONTINA 25627/110 PELA PAPAS UTILITA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
25627/170,TME 25627/170,TRAMONTINA 25627/170 PELA PAPAS UTILITA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
26045/106,CED 26045/106,TRAMONTINA 26045/106 CUCHILLO DEPORTIVO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
26053/106,CED 26053/106,TRAMONTINA 26053/106 CUCHILLO FILETEAR 6,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
26499/003,TME 26499/003,TRAMONTINA 26499/003 JUEGO DE PINCHOS 6,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
26499/046,TME 26499/046,TRAMONTINA 26499/046 JUEGO ASADO 2 PIEZA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
26616/026,CED 26616/026,TRAMONTINA 26616/026 MACHETE 26,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27803/061,TME 27803/061,TRAMONTINA 27803/061 SARTEN RECTA 22CM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27803/063,TME 27803/063,TRAMONTINA 27803/063 CACEROLA 22CM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27806/003,TME 27806/003,TRAMONTINA 27806/003 ASADERA HONDA 34CM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27807/047,TME 27807/047,TRAMONTINA 27807/047 SARTEN RECTA CON TA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27815/345,TME 27815/345,TRAMONTINA 27815/345 SARTEN 24 CM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27815/648,TME 27815/648,TRAMONTINA 27815/648 SARTEN 28 CM GRIS V,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27815/676,TME 27815/676,TRAMONTINA 27815/676 SARTEN 24CM LORETO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27815/677,TME 27815/677,TRAMONTINA 27815/677 BISTEQUEIRA 26 CM L,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27815/681,TME 27815/681,TRAMONTINA 27815/681 HERVIDOR 12CM LORET,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27815/687,TME 27815/687,TRAMONTINA 27815/687 BIFERA 26CM LORETO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27817/501,TME 27817/501,TRAMONTINA 27817/501 SARTEN 24 CM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27817/533,TME 27817/533,TRAMONTINA 27817/533 SARTEN RECTA 24 CM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27899/145,TME 27899/145,TRAMONTINA 27899/145 JGO. 3 SARTENES VER,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27899/167,TME 27899/167,TRAMONTINA 27899/167 JUEGO DE SARTENES 4,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
27899/183,TME 27899/183,TRAMONTINA 27899/183 JGO. DE SARTEN BIFE,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
29899/125,TME 29899/125,TRAMONTINA 29899/125 JUEGO DE CUBIERTOS,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
32200/050,TME 32200/050,TRAMONTINA 32200/050 ESTUCHE P/CHEF 10 P,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
32200/446,TME 32200/446,TRAMONTINA 32200/446 PARRILLA LISA 26CM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
32202/991,TME 32202/991,TRAMONTINA 32202/991 TABLA RECTANGULAR C,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
61224/281,TME 61224/281,TRAMONTINA 61224/281 RECIPIENTE REDONDO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
63800/645,TME 63800/645,TRAMONTINA 63800/645 PINZA MULTIUSO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
63815/101,TME 63815/101,TRAMONTINA 63815/101 CUCHARA P/SERVIR EX,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
63815/391,TME 63815/391,TRAMONTINA 63815/391 ESPATULA PERFORADA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
63955/320,TME 63955/320,TRAMONTINA 63955/320 CUCHARA PARA ENSALA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
63960/157,TME 63960/157,TRAMONTINA 63960/157 ESPATULA P/PASTEL E,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
66901/006,TME 66901/006,TRAMONTINA 66901/006 JUEGO DE 24 CUBIERT,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
66902/004,TME 66902/004,TRAMONTINA 66902/004 JGO. DE CUBIERTOS 2,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
66902/834,TME 66902/834,TRAMONTINA 66902/834 JUEGO DE CUBIERTOS,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
66906/015,TME 66906/015,TRAMONTINA 66906/015 CUCHARAS DE MESA 3P,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
66945/003,TME 66945/003,TRAMONTINA 66945/003 JUEGO DE CUBIERTOS,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
66999/513,TME 66999/513,TRAMONTINA 66999/513 JG. CUCHARA P/CAFE,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80112/049,TME 80112/049,TRAMONTINA 80112/049 JUEGO DE SARTENES 3,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80112/055,TME 80112/055,TRAMONTINA 80112/055 SARTEN LAZIO ROJO 3,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80112/057,TME 80112/057,TRAMONTINA 80112/057 HERVIDOR 14CM LAZIO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80114/016,TME 80114/016,TRAMONTINA 80114/016 SARTEN PROFESIONAL,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80114/020,TME 80114/020,TRAMONTINA 80114/020 SARTEN PROFESIONAL,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80117/538,TME 80117/538,TRAMONTINA 80117/538 OLLA DE ACERO CON T,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80117/585,TME 80117/585,TRAMONTINA 80117/585 BATERIA DE ACERO IN,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80132/543,TME 80132/543,TRAMONTINA 80132/543 BATERIA 12 PZAS. AL,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80149/565,TME 80149/565,TRAMONTINA 80149/565 JGO. DE SARTENES Y,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80149/567,TME 80149/567,TRAMONTINA 80149/567 OLLA C/TAPA ALUMINI,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80199/010,TME 80199/010,TRAMONTINA 80199/010 SARTEN 30CM NEGRO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80199/012,TME 80199/012,TRAMONTINA 80199/012 SARTEN 30CM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80199/029,TME 80199/029,TRAMONTINA 80199/029 SARTEN PROFUNDO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
82112/053,TME 82112/053,TRAMONTINA 82112/053 COMAL REDONDO 28 CM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
82112/056,TME 82112/056,TRAMONTINA 82112/056 OLLA C/TAPA 24 CM 4,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
94020/202,TME 94020/202,TRAMONTINA 94020/202 FREGADERO ACERO INO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
94022/202,TME 94022/202,TRAMONTINA 94022/202 FREGADERO ACERO INO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
94032/215,TME 94032/215,TRAMONTINA 94032/215 FREGADERO ACERO INO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
94081/505,TME 94081/505,TRAMONTINA 94081/505 CUBETA RECT.STD.ACE,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
94083/505,TME 94083/505,TRAMONTINA 94083/505 CUBETA RECT.STD. AC,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
94085/505,TME 94085/505,TRAMONTINA 94085/505 CUBETA RECT.STD.INO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
94538/112,TME 94538/112,TRAMONTINA 94538/112 BASURERO ACERO INOX,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
20199/707,TME 20199/707,TRAMONTINA MVC 20199/707 JUEGO DE SARTEN,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
20399/079,TME 20399/079,TRAMONTINA MVC 20399/079 JUEGO D/BATERIA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
20399/779,TME 20399/779,TRAMONTINA MVC 20399/779 BATERIA DE COCI,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
20589/624,TME 20589/624,TRAMONTINA MVC 20589/624 OLLA DE PRESION,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
20589/724,TME 20589/724,TRAMONTINA MVC 20589/724 OLLA DE PRESION,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
21198/961,TME 21198/961,TRAMONTINA MVC 21198/961 JUEGO PARA ASAD,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
21199/905,TME 21199/905,TRAMONTINA MVC 21199/905 JUEGO DE CUBIER,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
21199/911,TME 21199/911,TRAMONTINA MVC 21199/911 JUEGO PARA ASAD,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
22399/075,TME 22399/075,TRAMONTINA MVC 22399/075 JUEGO PARA ASAD,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
22399/084,CED 22399/084,TRAMONTINA MVC 22399/084 JUEGO DE CUCHIL,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
22901/008,CED 22901/008,TRAMONTINA MVC 22901/008 CUCHILLO P/COCI,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23198/722,TME 23198/722,TRAMONTINA MVC 23198/722 JUEGO DE CUBIER,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23198/922,TME 23198/922,TRAMONTINA MVC 23198/922 JUEGO DE CUBIER,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23498/050,CED 23498/050,TRAMONTINA MVC 23498/050 JUEGO DE CUCHIL,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23699/081,CED 23699/081,TRAMONTINA MVC 23699/081 JUEGO DE CUCHIL,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23899/060,CED 23899/060,TRAMONTINA MVC 23899/060 JUEGO DE CUCHIL,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
66905/084,TME 66905/084,TRAMONTINA MVC 66905/084 JUEGO DE CUBIER,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
66905/094,TME 66905/094,TRAMONTINA MVC 66905/094 JUEGO DE CUBIER,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
66960/836,TME 66960/836,TRAMONTINA MVC 66960/836 JUEGO DE CUBIER,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
80119/567,TME 80119/567,TRAMONTINA MVC 80119/567 JUEGO D/COCINA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
13065/408,TME 13065/408,TRAMONTINA SALDO 13065/408 TABLA P/PESCA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
22299/061,TME 22299/061,TRAMONTINA SALDO 22299/061 JUEGO DE CUBI,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
23087/100,TME 23087/100,TRAMONTINA SALDO 23087/100 TENEDOR TRINC,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
24610/026,CED 24610/026,TRAMONTINA SALDO 24610/026 CUCHILLO P/CA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
26401/101,TME 26401/101,TRAMONTINA SALDO 26401/101 ESPATULA CON,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
29899/058,CED 29899/058,TRAMONTINA SALDO 29899/058 JUEGO DE CUCH,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
32200/108,TME 32200/108,TRAMONTINA SALDO 32200/108 JUEGO JUMBO S,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
32200/209,CED 32200/209,TRAMONTINA SALDO 32200/209 JUEGO DE 4 CU,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
2667,FTF 2667,TRAMPA FAMA FLEXIBLE 2667 LAV/FREGADERO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
106385,GME TPB-561,TRATAMIENTO P/BANDAS NITRO TPB-561 6 OZ.,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
115206,CGM 115206,TRIPIE ALMET P/PRENSA TRI-01,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
100811,TRU NL-TRI-150,TRIPIE TELESCOPICO TRUPER 12K ALT. MAX.,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
(null),EQUI CG5/32,TRIPLAY 4 X 8 X 3/4,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
(null),IMR 12MM,TRIPLAY CAOBILLA 6MM,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
101922,TRU BASE-LIRO-5N,TRUPER BASE P/LIJADORA LIRO-5N TRUPER BA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16282,TRU CANT-6X,TRUPER CANTEADORA CANT-6X 6 1HP 750W 115,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16240,TRU CEP-12,TRUPER CEP-12 CEPILLO PORTATIL 2 1/4 H.,0,Sin Mov,1,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
13441,TRU CEPEL-3-1/4A3,TRUPER CEPEL-3 1/4A3 CEPILLO ELECTRICO 3,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16548,TRU CU-CEP-15X,TRUPER CU-CEP-15X CUCHILLAS P/CEPILLO CE,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
13088,TRU CU-CEPEL-41/2NX,TRUPER CU-CEPEL-41/2NX CUCHILLAS P/CEPEL,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
101176,TRU DIMP-38X,TRUPER DIMP-38X DESTOR. D/IMPACTO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
11682,TRU IMP-1/2N,TRUPER IMP-1/2N LLAVE D/IMPACTO 1/2,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
13449,CED LIBA-4X24N2,TRUPER LIBA-4X24N2 LIJADORA DE BANDA 4 X,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
15039,TRU ROTI-18N2,TRUPER ROTI-18N2 ROTOMARTILLO 1/2 INDUST,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16458,TRU SCI-14E,TRUPER SCI-14E SIERRA CINTA 14 1 HP 750W,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16278,TRU SCI-18,TRUPER SCI-18 SIERRA CINTA 18 2HP,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
103235,TRU SINCO-12,"TRUPER SINCO-12 SIERRA DE INGLETE 12"" 20",0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
101796,TRU SME-10B,TRUPER SME-18 SIERRA D/MESA 10 2 1/2HP 1,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16706,TRU TAL-3/8N2,TRUPER TALADRO INDUSTRIAL 3/8 400W TAL-3,0,Sin Mov,0,Sin Mov,0,Sin Mov,1,Sin Mov,0,Sin Mov
19369,TRU TPN-785HX,TRUPER TALADRO NEUMATICO TRUPER BROQUERO,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16178,TRU TAPI-13,TRUPER TAPI-13 TALADRO D/PISO 3/4HP 5/8,0,Sin Mov,1,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16180,TRU TAPI-15,TRUPER TAPI-15 TALADRO DE PISO 5/8X15 1H,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16182,TRU TAPI-17,TRUPER TAPI-17 TALADRO DE PISO 5/8 X 17,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
18242,TRU TPN-731-EX,TRUPER TPN-731-EX PISTOLA D/IMPACTO 1/2,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
18281,TRU TPN-734H-2K,TRUPER TPN-734H-2K KIT D/PISTOLA D/IMPAC,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16889,TRU TPN-776X-2,TRUPER TPN-776X-2 LLAVE D/IMPACTO NEUMAT,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
19368,TRU TPN-788RX,TRUPER TPN-788RX TALADRO REVERSIBLE 3/8,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16874,TRU TPN-874,TRUPER TPN-874 ESMERIL RECTO P/CORTE 3,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
16887,TRU TPN-876K-2,TRUPER TPN-876K-2 MINIESMERILADORA NEUMA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
101896,TRU TPN-883-2,TRUPER TPN-883-2 REMACHADORA NEUMATICA 3,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
,CED TUBO,TUBO CED.40 P. V. C. 3,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
(null),BIF TCN1313.5,TUBO COBRE RIG. TIPO N 13MM 1/2 3.05MTS,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
(null),BIF TCL38,TUBO COBRE RIGIDO TIPO L 38MM 11/2,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
308746,IUN 308746,TUBO COBRE RIGIDO TIPO M 38MM 1 1/2 X 6.,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
TPG76,CRE TPG76,TUBO CONDUIT GALVANIZADO 76MM 3,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
2000,BIF TG1/2,TUBO GALVANIZADO P/AGUA 13MM 1/2 X 6.40,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
,BIF TG11/2,TUBO GALVANIZADO P/AGUA 38MM 1 1/2 X 6.4,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
C4TA-101,DMT TH4,TUBO HIDRAULICO CED. 40 4 X 6MTS.,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
22044,CED LED-7809B,TUBO LED L.DIA 60 CM LED-T809B T8 9W BA,0,Sin Mov,0,Sin Mov,0,Sin Mov,6,Sin Mov,0,Sin Mov
TFL51,CRE TFL2,TUBO LIQUID TIHG 50MM 2,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
45276,TRU CALE-TUB,TUBO P/CALENTADOR SOLAR CALE-TUB,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
902200,DMT TPVC8,TUBO PVC SANITARIO 200MM 8 NORMA X 3 MTS,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
,CRE IMCSN2000,TUBO TERMO CONTRACTIL P/AIS 120 MTS CAL.,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
C0230F86,FUN TCR5/16X1/4,TUERCA CONICA REDUCIDA 08X06 5/16 X 1/4,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
(null),CHE TC0913,TUERCA MARIPOSA TC0913 3/16,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
(null),CHE TC0914,TUERCA MARIPOSA TC0914 1/4,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
VCO TUN2 1/2,VCO TUN2 1/2,TUERCA UNION GALVANIZADA 63MM 2 1/2,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
IN1002,ALI IN1002,UNIDAD IGOTO IN1002 1 POLO 20A,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
IN1004,ALI IN1004,UNIDAD IGOTO IN1004 1 POLO 40A,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
Q1743,GFE BTN1/40,UNIDAD TERMICA BTICINO BTN1/40 40A 1 X 4,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
Q1759,GFE BTN3/30,UNIDAD TERMICA BTICINOBTN 3/30 30A 3 X 3,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
Q1749,CED BTN2/30,UNIDAD TERMICA MONTANA 2P 30A 2 X 30,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
1008-2,TRI 1008-2,VALVULA 1008-2 AFR-1 BLANCA ROSCA 5/8,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
1015-2,TRI 1015-2,VALVULA 1015-2 AFR-1 PALANCA ROJA ROSCA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
1022-2,TRI 1022-2,VALVULA 1022-2 AFR-1 PALANCA AZUL ROSCA,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
2005-2,TRI 2005-2,VALVULA 2005-2 AFR-2 PALANCA BLANCA ROS.,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
2012-2,TRI 2012-2,VALVULA 2012-2 AFR-2 PALANCA ROJA ROSC.I,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
2029-2,TRI 2029-2,VALVULA 2029-2 AFR-2 PALANCA AZUL NIPLE,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov,0,Sin Mov
