Codigo,Clave,Descripcion,Adelitas,Adelitas,San Agustin,San Agustin,Matriz,Matriz,Berriozabal,Berriozabal,H Ilustres,H Ilustres
Codigo,Clave,Descripcion,Inv,Class,Inv,Class,Inv,Class,Inv,Class,Inv,Class
21815,TRU PET-8P,LLAVE PERICO PRETUL N 8 PET- 8P,7,A,5,A,4,A,6,A,5,Sin Mov
23732,TRU LP-33,LONA PRETUL LP- 33 3 X 3 MTS.,1,A,1,A,7,A,0,A,0,C
12833,TRU CP-24X,CORTAPERNOS TRUPER 24 CT-24X,0,Sin Mov,1,B,2,A,2,C,0,Sin Mov
12972,TRU SELO-20,SEPARADOR P/LOSETA TRUPER SELO- 20 2.0MM,5,B,6,A,6,A,6,C,0,Sin Mov
19027,TRU FISE,FILTRO SEPARADOR DE AGUA Y ACEITE TRUPER,11,B,3,A,2,A,6,Sin Mov,0,Sin Mov
13925,TRU SDS-C3,CINCEL SDS-C3 PLANO 1 1/2 P/AZULEJO TRUP,3,B,2,B,1,A,6,C,0,Sin Mov
40156,TRU ED-8BR,VOLTECK EXTENCION ED- 8BR 8 MTS. BCA.,0,Sin Mov,0,Sin Mov,2,A,6,Sin Mov,0,Sin Mov
18094,TRU COBI-1 1/2,SIERRA CORTA CIRCULO BIMETALICO 38.1MM 1,3,B,1,B,3,A,6,C,0,Sin Mov
23395,TRU CF-VI-P,CARTUCHO P/MASCARILLA CF-VI-P VAPORES IN,6,Sin Mov,3,B,0,B,8,C,0,Sin Mov
000623-6,BER 623-6,PINTURA ESMALTE SUMMA 623 19 LTS.,5,C,0,C,3,A,7,C,3,C
15688,TRU LL-3026,LLAVE ESP. STD. LL-3026 1/2X9/16 TRUPER,6,Sin Mov,6,Sin Mov,1,A,0,Sin Mov,0,Sin Mov
10933,TRU CDU-30XX,CINTA DUCTO ALUMINIO 48MM X 30 MTS. CDU-,6,C,2,A,0,A,1,B,6,C
15591,TRU LL-2010,LLAVE COMBINADA(STANDAR) LL-2010 (LL-121,6,Sin Mov,5,B,2,A,6,Sin Mov,0,Sin Mov
5403D-001,FSM 5403D-001-T4,VALVULA SAPO FLUIDMASTER 5403P4 3P.(5403,6,C,5,C,12,A,0,B,0,Sin Mov
